2023-10-30 17:35:18,202 INFO    MainThread:75496 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_setup.py:_flush():76] Configure stats pid to 75496
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_setup.py:_flush():76] Loading settings from /Users/yschimpf/.config/wandb/settings
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_setup.py:_flush():76] Loading settings from /Users/yschimpf/Documents/ETH/HS2023/Bachelor Thesis/bioflax/bioflax/wandb/settings
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run_train.py', 'program_abspath': '/Users/yschimpf/Documents/ETH/HS2023/Bachelor Thesis/bioflax/bioflax/run_train.py', 'program': '/Users/yschimpf/Documents/ETH/HS2023/Bachelor Thesis/bioflax/bioflax/run_train.py'}
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_init.py:_log_setup():528] Logging user logs to /Users/yschimpf/Documents/ETH/HS2023/Bachelor Thesis/bioflax/bioflax/wandb/offline-run-20231030_173518-l0e209ie/logs/debug.log
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/yschimpf/Documents/ETH/HS2023/Bachelor Thesis/bioflax/bioflax/wandb/offline-run-20231030_173518-l0e209ie/logs/debug-internal.log
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_init.py:init():568] calling init triggers
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2023-10-30 17:35:18,203 INFO    MainThread:75496 [wandb_init.py:init():618] starting backend
2023-10-30 17:35:18,204 INFO    MainThread:75496 [wandb_init.py:init():622] setting up manager
2023-10-30 17:35:18,210 INFO    MainThread:75496 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-30 17:35:18,213 INFO    MainThread:75496 [wandb_init.py:init():628] backend started and connected
2023-10-30 17:35:18,220 INFO    MainThread:75496 [wandb_init.py:init():720] updated telemetry
2023-10-30 17:35:18,260 INFO    MainThread:75496 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 17:35:18,268 INFO    MainThread:75496 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 17:35:18,410 INFO    MainThread:75496 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 17:35:18,410 INFO    MainThread:75496 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 17:35:18,410 INFO    MainThread:75496 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 17:35:18,410 INFO    MainThread:75496 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 17:35:18,411 INFO    MainThread:75496 [wandb_init.py:init():845] run started, returning control to user process
